date,wakeUp,goOut,objectId,name,givDuration,exDuration,givFreeTime,exFreeTime,startTime,endTime,overexcep,exception,endedByUser
"27/10/2014","07:00","07:30",5,"לקחת פלאפון וסט אייפד","00:30","00:12","01:00","00:13","16:40:19","16:40:31",false,"-00:17",true
"27/10/2014","07:00","07:30",6,"לנעול נעליים  ","00:30","00:10","01:00","00:47","16:40:44","16:40:54",false,"-00:19",true
"27/10/2014","07:00","07:30",2,"פיזיותרפיה","00:30","00:10","01:00",,"16:41:9","16:41:19",false,"-00:19",true
"27/10/2014","07:00","07:30",4,"לאכול ולבלוע ריטלין אחרי ה","00:30","00:10","01:00","03:30","16:41:41","16:41:51",false,"-00:19",true
"27/10/2014","07:00","07:30",1,"לצחצח שיניים","00:30","00:46","02:00","00:24","16:45:21","16:46:7",true,"00:16",true
"27/10/2014","07:00","07:30",3,"להתלבש","00:30","00:10","01:00",,"16:46:31","16:46:41",false,"-00:19",true
"28/10/2014","07:00","07:30",2,"להתלבש","01:00","00:47","01:00","00:24","4:59:45","5:0:32",false,"-00:12",true
"28/10/2014","07:00","07:30",3,"לקחת פלאפון וסט אייפד","01:30","00:50","01:00","00:40","5:0:56","5:1:46",false,"-00:39",true
"28/10/2014","07:00","07:30",1,"לצחצח שיניים","04:30","01:56","01:00","00:12","5:2:26","5:4:22",false,"-02:33",true
"28/10/2014","07:00","07:30",4,"לנעול נעליים  ","02:00","01:34","01:00","00:22","5:4:34","5:6:8",false,"-00:25",true
"28/10/2014","07:00","07:30",6,"פיזיותרפיה","05:00","02:45","01:00","00:32","5:6:30","5:9:15",false,"-02:14",true
"28/10/2014","07:00","07:30",5,"לאכול ולבלוע ריטלין אחרי ה","08:30","05:29","01:00",,"5:9:47","5:15:16",false,"-03:00",true
