date,wakeUp,goOut,objectId,name,givDuration,exDuration,givFreeTime,exFreeTime,startTime,endTime,overexcep,exception,endedByUser
"20/10/2014","11:10","11:30",1,"לצחצח שיניים","01:00","02:00",,,"8:51:29","8:53:29",true,"-01:00",false
"20/10/2014","11:10","11:30",2,"לשתות קפה","05:00","03:00",,,"8:57:35","9:0:35",true,"02:00",false
"20/10/2014","11:10","11:30",3,"להתלבש","05:00","04:00",,,"9:0:9","9:4:9",false,"00:59",false
"20/10/2014","11:10","11:30",4,"לקחת ציוד לאוטו","02:00","07:30",,,"9:2:47","9:10:17",true,"-05:30",false
"21/10/2014","10:00","11:00",1,"לצחצח שיניים","02:00","02:05",,,"8:4:19","8:6:24",false,"-00:05",false
"21/10/2014","10:00","11:00",2,"לשתות קפה","03:00","04:40",,,"8:7:58","8:12:38",true,"-01:40",false
"21/10/2014","10:00","11:00",3,"להתלבש","05:00","05:47",,,"8:16:4","8:21:51",false,"-00:47",false
"21/10/2014","07:30","07:50",1,"לצחצח שיניים","02:00","02:40",,,"16:15:10","16:17:50",false,"-00:40",false
"21/10/2014","07:30","07:50",2,"לשתות קפה","04:00","01:00",,,"16:22:45","16:23:45",true,"03:00",false
"21/10/2014","07:30","07:50",3,"להתלבש","05:00","05:10",,,"16:25:25","16:30:35",false,"-00:10",false
"21/10/2014","07:30","07:50",1,"לצחצח שיניים","03:00","00:12",,,"16:47:15","16:47:27",false,"-02:48",false
"21/10/2014","07:30","07:50",2,"לשתות קפה","04:00","05:00",,,"16:44:50","16:49:50",true,"01:00",false
"21/10/2014","07:30","07:50",3,"להתלבש","05:00","10:00",,,"16:46:54","16:56:54",true,"05:00",false
"21/10/2014","07:30","07:50",1,"לצחצח שיניים","03:00","02:00",,,"17:6:38","17:8:38",false,"-01:00",false
"21/10/2014","07:30","07:50",2,"לשתות קפה","04:00","03:40",,,"17:10:58","17:14:38",false,"-00:20",false
"21/10/2014","07:30","07:50",3,"להתלבש","05:00","05:30",,,"17:16:47","17:22:17",false,"00:30",false
"21/10/2014","07:30","07:50",1,"לצחצח שיניים","03:00","02:00",,,"17:37:23","17:39:23",false,"-01:00",false
"21/10/2014","07:30","07:50",2,"לשתות קפה","04:00","05:00",,,"17:41:35","17:46:35",true,"01:00",false
"21/10/2014","07:30","07:50",3,"להתלבש","05:00","07:00",,,"17:44:49","17:51:49",true,"02:00",false
"21/10/2014","07:00","08:00",3,"לשתות קפה","04:00","07:00",,,"20:28:25","20:35:25",true,"03:00",false
"21/10/2014","07:00","08:00",2,"להתלבש","05:00","05:00",,,"20:44:16","20:49:16",false,"00:00",false
"21/10/2014","07:00","08:00",2,"להתלבש","05:00","05:00",,,"20:54:21","20:59:21",false,"00:00",false
"21/10/2014","07:00","08:00",3,"לשתות קפה","04:00","02:00",,,"21:7:5","21:9:5",false,"-02:00",false
"21/10/2014","07:00","08:00",1,"לצחצח שיניים","03:00","01:00",,,"21:14:1","21:15:1",false,"-02:00",false
"21/10/2014","07:00","08:00",1,"לצחצח שיניים","02:00","02:00",,,"21:14:37","21:16:37",false,"00:00",false
"21/10/2014","07:00","08:00",3,"לשתות קפה","04:00","03:00",,,"21:16:46","21:19:46",false,"-01:00",false
"21/10/2014","07:00","08:00",2,"להתלבש","05:00","05:00",,,"21:20:35","21:25:35",false,"00:00",false
"22/10/2014","07:00","08:00",1,"לצחצח שיניים","02:00","02:00",,,"7:11:46","7:13:46",false,"00:00",false
"22/10/2014","07:00","08:00",2,"להתלבש","05:00","04:00",,,"7:18:24","7:22:24",false,"-01:00",false
"22/10/2014","07:00","08:00",3,"לשתות קפה","04:00","05:00",,,"7:52:11","7:57:11",true,"01:00",false
