date,wakeUp,goOut,objectId,name,givDuration,exDuration,givFreeTime,exFreeTime,startTime,endTime,overexcep,exception,endedByUser
"23/10/2014","07:20","07:45",4,"לצחצח שיניים","02:00","01:06","01:00","06:02","11:54:11","11:55:17",false,"-00:53",true
"23/10/2014","07:20","07:45",1,"להתלבש","00:30","00:38","01:00",,"11:55:56","11:56:34",true,"00:08",true
"23/10/2014","07:20","07:45",3,"להכין תיק","01:30","01:38","01:00",,"11:56:55","11:58:33",false,"00:08",true
"23/10/2014","07:20","07:45",6,"לשים אוכל בתיק","03:00","01:25","01:00",,"11:59:21","12:0:46",false,"-01:34",true
"23/10/2014","07:20","07:45",2,"לשטוף פנים","01:00","01:01","01:00","00:35","12:1:19","12:2:20",false,"00:01",true
"23/10/2014","07:20","07:45",5,"להוציא את מוקי לטיול","02:30","00:57","01:00",,"12:2:55","12:3:52",false,"-01:32",true
"23/10/2014","07:20","07:45",6,"לשים אוכל בתיק","03:00","00:30","01:00","00:37","12:24:42","12:25:12",false,"-02:29",true
"23/10/2014","07:20","07:45",2,"לשטוף פנים","01:00","01:18","01:00","01:09","12:25:49","12:27:7",true,"00:18",true
"23/10/2014","07:20","07:45",3,"להכין תיק","01:30","00:44","01:00","01:14","12:28:16","12:29:0",false,"-00:45",true
"23/10/2014","07:20","07:45",4,"לצחצח שיניים","02:00","03:24","01:00","02:11","12:30:14","12:33:38",true,"01:24",true
"23/10/2014","07:20","07:45",5,"להוציא את מוקי לטיול","02:30","03:29","01:00","00:58","12:35:49","12:39:18",true,"00:59",true
"23/10/2014","07:20","07:45",1,"להתלבש","00:30","10:30","01:00",,"12:40:16","12:50:46",true,"10:00",false
